sample	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
TCGA-DK-A3IN-01A	0.034904162	0.078281894	0.307849138	0.183393405	0.138511654	0.710692557
TCGA-DK-A3IQ-01A	0.034436001	0.139523163	0.227629138	0.125925132	0.278271066	0.404993244
TCGA-DK-A3IS-01A	0.104825026	0.079461649	0.120123927	0.070975966	0.01085575	0.331361392
TCGA-DK-A3IT-01A	0.112411586	0.118654413	0.175931063	0.107331889	0.159718054	0.37235607
TCGA-DK-A3IU-01A	0.206573887	0.449414197	0.212751128	0.318111456	0	0.939019627
TCGA-DK-A3IV-01A	0.149978203	0.264566907	0.183811181	0.201449515	0.009040807	0.564239615
TCGA-DK-A3WW-01A	0.019651715	0.099767325	0.386570324	0.23176528	0	0.652802407
TCGA-DK-A3WX-01A	0	0.190356743	0.220137663	0.257960951	0.028038818	0.614314107
TCGA-DK-A3WY-01A	1.956633499	0.744787206	0	0.270965084	0	1.124954129
TCGA-DK-A3X1-01A	0.061432273	0.091849247	0.111010789	0.061259885	0	0.320525735
TCGA-DK-A3X2-01A	0.05057862	0.119953377	0.089079198	0.072870062	0.018794982	0.325180345
TCGA-DK-A6AV-01A	0.096840856	0.078252574	0.184725003	0.07722989	0.068287719	0.362384462
TCGA-DK-A6AW-01A	0.090155592	0.095273677	0.070211895	0.068659294	0	0.343219953
TCGA-DK-A6B0-01A	0.077826582	0.129183019	0.054863542	0.067215592	0	0.384642954
TCGA-DK-A6B1-01A	0.103073511	0.035107362	0.18656632	0.076953013	0.030590012	0.384332328
TCGA-DK-A6B2-01A	0.180329423	0.165453501	0.124466729	0.131315743	0.229266648	0.499821973
TCGA-DK-A6B5-01A	0.037589829	0.178652419	0.146054644	0.143768899	0.047143692	0.569018647
TCGA-DK-A6B6-01A	0.093979832	0.129471756	0.151210602	0.090201281	0.002172572	0.407027761
TCGA-DK-AA6L-01A	0.07924694	0.14862495	0.154086471	0.128996499	0.091430465	0.540407156
TCGA-DK-AA6M-01A	0.071439231	0.209237301	0.102213614	0.135713592	0.109029139	0.672733532
TCGA-DK-AA6P-01A	0.091533385	0.078864892	0.145756812	0.061843337	0	0.31976008
TCGA-DK-AA6Q-01A	0.033896042	0.168314664	0.225678669	0.131564173	0.058607658	0.478306567
TCGA-DK-AA6R-01A	0	0.167310813	0.237041666	0.115838145	0	0.596143822
TCGA-DK-AA6S-01A	0.020346256	0.226529104	0.106256959	0.169943411	0.054054075	0.530606491
TCGA-DK-AA6T-01A	1.383445751	0.462050449	0	0.211981605	0	0.844578743
TCGA-DK-AA6U-01A	0.076234169	0.070262625	0.15051795	0.067561073	0.027400395	0.363898624
TCGA-DK-AA6W-01A	0.104895911	0.12476855	0.096458565	0.074291659	0.092097536	0.435092066
TCGA-DK-AA6X-01A	0.200645271	0.120845898	0.164043425	0.138218746	0.164172345	0.490233089
TCGA-DK-AA71-01A	0.053821001	0.088635721	0.087964525	0.065475772	0.000244767	0.339964456
TCGA-DK-AA74-01A	0.053372552	0.218974651	0.182786697	0.20520288	0.221595864	0.706238358
TCGA-DK-AA75-01A	0.033567526	0.103590003	0.057584005	0.039221282	0.020457558	0.263742181
TCGA-DK-AA76-01A	0.109272049	0.07558394	0.094595215	0.063943586	0	0.279003739
TCGA-DK-AA77-01A	0.149224229	0.113285933	0.082449722	0.099196857	0	0.435839743
TCGA-E5-A2PC-01A	0.047169191	0.117625246	0.125860955	0.117727038	0.015312813	0.409705009
TCGA-E5-A4TZ-01A	0.070425486	0.1158725	0.19122544	0.066828747	0.048084788	0.442155134
TCGA-E5-A4U1-01A	0.056079698	0.074010622	0.119299072	0.054918533	0	0.254492983
TCGA-E7-A3X6-01A	0.020863597	0.191704016	0.124464306	0.188008042	0.015559921	0.480441777
TCGA-E7-A3Y1-01A	0.064770083	0.108791569	0.068026664	0.048471218	0	0.288809774
TCGA-E7-A4IJ-01A	0.048193216	0.086738638	0.182067228	0.089078101	0	0.374831758
TCGA-E7-A4XJ-01A	0.042698235	0.116668129	0.051167974	0.043907705	0	0.289961944
TCGA-E7-A519-01A	0.137659505	0.230749465	0	0.089265305	0	0.458840073
TCGA-E7-A541-01A	0.079914258	0.137570773	0.204939016	0.125673845	0.117746293	0.429300882
TCGA-E7-A5KE-01A	0.093597698	0.087577545	0.074736445	0.05337349	0.044930457	0.324055479
TCGA-E7-A5KF-01A	0.108343068	0.127306806	0.056958306	0.078788495	0	0.344172926
TCGA-E7-A677-01A	0.072427595	0.112618899	0.258203504	0.140851297	0	0.578660408
TCGA-E7-A678-01A	0.084986427	0.113468111	0.117100081	0.061334488	0	0.347814336
TCGA-E7-A6MD-01A	0.147707932	0.233043795	0.103970118	0.104642593	0.061180679	0.436921532
TCGA-E7-A6ME-01A	0.303607884	0.03047422	0.182437805	0.060546932	0.020024402	0.633667071
TCGA-E7-A6MF-01A	0.020985374	0.091471747	0.238449229	0.092819205	0.076658978	0.405339067
TCGA-E7-A7DU-01A	0.096414497	0.121435719	0.052356958	0.06186908	0	0.334507853
TCGA-E7-A7DV-01A	0	0.169031802	0.262048675	0.15215616	0.399182527	1.090220373
TCGA-E7-A7PW-01A	0.032059138	0.111700553	0.092035694	0.045872239	0.001753222	0.29728688
TCGA-E7-A7XN-01A	0	0.215647395	0.280675328	0.312600324	0	0.584340799
TCGA-E7-A85H-01A	0.080120912	0.095994581	0.101232351	0.078631552	0.055660805	0.352745971
TCGA-E7-A8O7-01A	0.159083199	0.165930149	0.149976609	0.144385611	0	0.531670978
TCGA-E7-A8O8-01A	0.044386857	0.067052379	0.114927817	0.043126026	0	0.261083267
TCGA-E7-A97P-01A	0	0.153105176	0.35138343	0.283144025	0	0.634901607
TCGA-E7-A97Q-01A	0.065256534	0.135718805	0.073927327	0.082294656	0.146783327	0.276239118
TCGA-FD-A3B3-01A	0.041998034	0.264498936	0.183372796	0.30944666	0.00221831	0.700734851
TCGA-FD-A3B4-01A	0.111454135	0.254692901	0.1504204	0.174163713	0.044919989	0.522703963
TCGA-FD-A3B5-01A	0.059526107	0.090003016	0.188498211	0.083928316	0.026438726	0.460331968
TCGA-FD-A3B6-01A	0.077752624	0.184592451	0.23849291	0.174607457	0.091969308	0.788153693
TCGA-FD-A3B7-01A	0.05100245	0.135716328	0.493971876	0.245897874	0.161584755	0.868397673
TCGA-FD-A3B8-01A	0.115836704	0.357782821	0.266023884	0.392401334	0.189697099	1.030159528
TCGA-FD-A3N5-01A	0.017877355	0.193219411	0.132178123	0.110228142	0.006758159	0.544926284
TCGA-FD-A3N6-01A	0.044862668	0.13474736	0.141519218	0.114549776	0	0.411192071
TCGA-FD-A3NA-01A	0.02948723	0.058941488	0.267816983	0.144526315	0.078589556	0.536766034
TCGA-FD-A3SJ-01A	0.080967272	0.132209362	0.122387932	0.072399434	0.023921919	0.391874621
TCGA-FD-A3SL-01A	0.010934039	0.134731823	0.248078094	0.124019711	0.167877552	0.481088046
TCGA-FD-A3SM-01A	0.073199472	0.096309043	0.150002367	0.083935258	0.149204671	0.415605253
TCGA-FD-A3SN-01A	0.007356714	0.096815874	0.22546357	0.120506634	0.04383565	0.49080941
TCGA-FD-A3SO-01A	0.02313781	0.151989006	0.221838998	0.176004605	0.009455193	0.683190326
TCGA-FD-A3SP-01A	0.029651057	0.225459703	0.20309905	0.264756027	0.21034518	0.835594568
TCGA-FD-A3SQ-01A	0.118843253	0.141456109	0.158669246	0.157943158	0.201769831	0.463291752
TCGA-FD-A3SR-01A	0.055608497	0.20018496	0.12189182	0.175281591	0.283423309	0.447536378
TCGA-FD-A3SS-01A	0.085265619	0.088074254	0.118988246	0.072555689	0.123826376	0.329649398
TCGA-FD-A43N-01A	0.042949825	0.080179862	0.120987734	0.083319455	0.051348673	0.330218338
TCGA-FD-A43P-01A	0.095677021	0.262015304	0.311525938	0.156466815	0.100334468	0.592823531
